bin_selection,time,x,xerr,x2,xerr2,n,v,verr,diodes_diode,diodes_diodeerr,diodes_m2,diodes_m2err,y,yerr
1,77683783.77289587,13002.729482216811,5.787654292094301e-05,12816.471106158868,2.943482044430161e-06,528.0,39991.49014583362,0.014661159036495881,0.05347084317386262,0.0015013536377693434,0.027178860009429543,0.030926985960095615,38.0,6.164414002968976
2,77683779.51319873,13002.729681089675,6.203176413056786e-05,12816.47110805201,3.3357723618676484e-06,593.0,39991.41990000009,0.0,0.05725663773113443,0.0017817053435331812,0.0231860217866264,0.030754553989754643,50.0,7.0710678118654755
3,77683775.21980292,13002.72988311208,5.3693839558328155e-05,12816.47110497828,2.380456958593351e-06,521.0,39991.50195374277,0.02555922591268798,0.06114370452145627,0.0016228313985901688,0.02283565578311524,0.031194929186386357,40.0,6.324555320336759
4,77683771.238399,13002.73008440548,5.763195241958369e-05,12816.47110663319,4.11590803716405e-06,515.0,39991.49516213585,0.011045502949893619,0.06580730893100832,0.002754449401413109,0.02619134744810656,0.029160058761000803,26.0,5.0990195135927845
5,77683767.26887564,13002.730277930372,5.0677556646837466e-05,12816.47110699279,3.5046475436134404e-06,520.0,39991.47443326959,0.016514052776149972,0.07067305518543175,0.0023385563723314125,0.029289217049362958,0.029786552663328577,57.0,7.54983443527075
6,77683763.28285117,13002.730479641592,5.989989274208525e-05,12816.471107266283,3.149743146995024e-06,523.0,39991.46116443592,0.02828497354278698,0.07737161160972549,0.002744264826682095,0.026599390815834185,0.031337189468152754,43.0,6.557438524302
7,77683759.31806783,13002.730685408635,5.5227631271119564e-05,12816.471104957824,5.286815895072704e-06,517.0,39991.554400000365,0.0,0.08662093239054185,0.0026625240768580016,0.024597561733694692,0.02946768465994355,34.0,5.830951894845301
8,77683755.1976368,13002.730877952794,6.025674986063522e-05,12816.471106962157,2.60467282829138e-06,555.0,39991.57370522533,0.00911379471978078,0.09581901158707319,0.004151806433376405,0.023818280446172176,0.03272674731756346,34.0,5.830951894845301
9,77683750.96170235,13002.731093099175,5.70720747101808e-05,12816.47110691529,5.467978157611307e-06,560.0,39991.538095000236,0.03129251644108488,0.10753302011515288,0.004491041659666375,0.03594313919491165,0.029363819666652902,45.0,6.708203932499369
10,77683746.79382192,13002.731277925406,5.3357240018815117e-05,12816.471105313865,5.298829017707484e-06,525.0,39991.53590552346,0.02756286755019955,0.1191424526042896,0.0038130705086583732,0.030494215823075814,0.029308149023809578,47.0,6.855654600401044
